city,barrier,renting_rental,shop,cycleway
antwerp,268,13,1,448.9707304247101
barcelona,677,5,24,158.82206619971248
london,13577,75,62,937.8865127547149
orebro,198,8,3,299.28122136495375
roma,2914,2,2,97.40783891226542
vienna,3569,32,2,715.5389720805197
zurich,741,50,0,123.94580430216706
